File name,Pectoral Start Frame,Pectoral End Frame,Pelvic Start Frame,Pelvic End Frame,Total Frames,Light Start,Appendages,Date Filmed,Calib_Video,Calib_Force,Body 1 Start,Body 1 End,Body 2 Start,Body 2 End,Body.Weight.kg,TL.cm,SVL.cm,Dist.LatCam.Calib.mm,Dist.DorCam.Mir.mm,Dist.Mir.Calib.mm,Dist.Calib.Glass.mm,Filming.Rate.Hz,Species,Notes,TrialsToUse
af01f54,18,56,49,88,311,245,Pectoral,7/15/11,cal11,cal10,34,42,,,0.061,23,10.5,960,1930,710,190,100,Ambystoma_tigrinum,,none
af01f55,23,80,68,131,361,293,Pelvic,7/15/11,cal11,cal10,40,48,,,0.061,23,10.5,960,1930,710,190,100,Ambystoma_tigrinum,,none
af01f56,37,101,90,150,381,321,Both,7/15/11,cal11,cal10,60,67,79,83,0.061,23,10.5,960,1930,710,190,100,Ambystoma_tigrinum,,pel
af01f57,20,76,63,153,411,346,Pectoral,7/15/11,cal11,cal10,88,107,,,0.061,23,10.5,960,1930,710,190,100,Ambystoma_tigrinum,only tiny overlap with RH toe; kind of stops on plate during HL stance,none
af01f58,16,102,74,174,451,348,Both,7/15/11,cal11,cal10,54,61,,,0.061,23,10.5,960,1930,710,190,100,Ambystoma_tigrinum,a little diagonal; very slow,pel
af01f59,16,69,57,111,371,312,Pectoral,7/20/11,cal12,cal11,67,74,,,0.063,23,10.5,970,1950,730,190,100,Ambystoma_tigrinum,might be isolated FL,none
af01f60,40,107,92,188,491,428,Both,7/20/11,cal12,cal11,,,,,0.063,23,10.5,970,1950,730,190,100,Ambystoma_tigrinum,drags body a bit; seems to slow down on HL (maybe throw out?),none
af01f61,20,77,64,132,461,374,Pectoral,7/20/11,cal12,cal11,75,85,,,0.063,23,10.5,970,1950,730,190,100,Ambystoma_tigrinum,,none
af01f62,31,105,90,171,456,384,Pectoral,7/20/11,cal12,cal11,,,,,0.063,23,10.5,970,1950,730,190,100,Ambystoma_tigrinum,might be isolated FL; dragging body ,none
af01f63,28,66,57,128,311,212,Pectoral,7/22/12,cal21,cal20,62,73,,,0.054,23,10.5,1045,1700,750,185,100,Ambystoma_tigrinum,not great; prefer to exclude; slams head into plate on HL and slows on HL,none
af01f64,35,114,95,184,401,322,Pectoral,7/22/12,cal21,cal20,,,,,0.054,23,10.5,1045,1700,750,185,100,Ambystoma_tigrinum,slow,none
af01f65,31,89,,,311,223,Pectoral,7/22/12,cal21,cal20,,,,,0.054,23,10.5,1045,1700,750,185,100,Ambystoma_tigrinum,isolated,pec
af01f66,1,36,27,95,271,175,Pelvic,7/22/12,cal21,cal20,,,,,0.054,23,10.5,1045,1700,750,185,100,Ambystoma_tigrinum,slow,none
af01f67,22,74,63,119,281,204,Pectoral,7/22/12,cal21,cal20,,,,,0.054,23,10.5,1045,1700,750,185,100,Ambystoma_tigrinum,a little diagonal,none
af01f68,26,89,74,145,401,311,Pectoral,7/22/12,cal21,cal20,,,,,0.054,23,10.5,1045,1700,750,185,100,Ambystoma_tigrinum,a little diagonal,pec
af01f69,20,76,66,135,351,270,Pelvic,7/22/12,cal21,cal20,62,65,,,0.054,23,10.5,1045,1700,750,185,100,Ambystoma_tigrinum,62-65 is HL lowering onto plate; HL toes curled,none
af04f26,36,87,77,150,271,202,Pectoral,6/22/11,cal05,cal05,38,43,73,89,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,slams body ,none
af04f27,46,85,76,127,251,204,Pelvic,6/22/11,cal05,cal05,49,54,78,84,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,slams body ,none
af04f28,40,102,87,168,331,285,Both,6/22/11,cal05,cal05,,,,,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,,none
af04f29,29,66,63,107,211,151,Both,6/22/11,cal05,cal05,34,46,60,71,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,slams body; diagonal; pretty bad ,none
af04f30,45,77,70,119,251,179,Pectoral,6/22/11,cal05,cal05,47,50,71,75,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,taps body down,none
af04f31,48,121,103,175,321,275,Pelvic,6/22/11,cal05,cal05,,,,,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,,none
af04f32,22,57,50,100,216,152,Both,6/22/11,cal05,cal05,24,33,51,61,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,slams body ,none
af04f33,23,54,45,96,211,159,Both,6/22/11,cal05,cal05,24,33,46,57,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,slams body; really bad,none
af04f34,,,73,156,281,226,Pelvic,6/22/11,cal05,cal05,38,44,72,79,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,taps body down,pel
af04f35,20,75,62,148,301,251,Pectoral,6/22/11,cal05,cal05,25,39,58,77,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,slams body ,none
af04f36,17,38,34,67,176,125,Pectoral,6/22/11,cal05,cal05,18,23,37,47,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,slams body; diagonal,none
af04f37,44,84,76,129,221,157,Both,6/22/11,cal05,cal05,46,52,76,82,0.059,24,11,970,1905,780,180,100,Ambystoma_tigrinum,slams body; diagonal,pel
af04f38,23,67,60,116,181,117,Both,6/23/11,cal07,cal06,59,69,96,105,0.058,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,none
af04f39,30,93,80,166,301,192,Pectoral,6/23/11,cal07,cal06,40,48,,,0.058,24,11,950,1950,740,180,100,Ambystoma_tigrinum,kind of falls on FL step,none
af04f40,28,64,58,101,191,133,Both,6/23/11,cal07,cal06,32,34,59,66,0.058,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down; diagonal,none
af04f41,17,44,40,75,181,134,Pectoral,6/23/11,cal07,cal06,20,22,43,47,0.058,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,none
af04f42,10,40,37,86,201,149,Both,6/23/11,cal07,cal06,9,19,40,45,0.058,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down; pretty bad; throws itself,none
af04f43,21,45,41,74,181,133,Pectoral,6/23/11,cal07,cal06,42,46,,,0.058,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,none
af04f44,18,53,48,96,181,129,Both,6/23/11,cal07,cal06,23,27,50,58,0.058,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,none
af04f45,18,60,52,97,221,161,Pectoral,6/23/11,cal07,cal06,26,29,54,67,0.058,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,none
af04f46,23,50,47,82,171,121,Both,6/24/11,cal08,cal07,43,58,,,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,slams on hindlimb; high-steps it,none
af04f47,21,62,,,191,141,Pectoral,6/24/11,cal08,cal07,58,63,87,91,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,barely touches plate with belly,pec
af04f48,10,36,33,73,161,114,Pectoral,6/24/11,cal08,cal07,13,19,29,42,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,slams body; pretty sloppy,none
af04f49,25,59,51,126,251,207,Pectoral,6/24/11,cal08,cal07,53,59,,,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,taps body down; a little diagonal,none
af04f50,26,55,52,88,171,132,Pectoral,6/24/11,cal08,cal07,32,35,54,66,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,taps body down,none
af04f51,19,67,56,116,221,166,Pelvic,6/24/11,cal08,cal07,28,34,57,64,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,taps body down,none
af04f52,19,48,42,82,171,118,Pectoral,6/24/11,cal08,cal07,44,49,63,75,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,taps body down,none
af04f53,18,52,47,88,161,110,Pectoral,6/24/11,cal08,cal07,25,28,52,57,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,taps body down,none
af04f54,30,70,61,137,261,183,Pectoral,6/24/11,cal08,cal07,,,,,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,diagonal; slows down at end,none
af04f55,16,52,46,96,176,131,Pectoral,6/24/11,cal08,cal07,22,27,49,58,0.061,24,11,950,1910,770,180,100,Ambystoma_tigrinum,taps body down,none
af04f56,,,,,,,,6/30/11,cal09,cal08,,,,,0.064,24,11,950,1940,760,190,100,Ambystoma_tigrinum,"EXCLUDE; light not visible, so can't sync with force data",none
af04f57,,,,,,,,6/30/11,cal09,cal08,,,,,0.064,24,11,950,1940,760,190,100,Ambystoma_tigrinum,"EXCLUDE; light not visible, so can't sync with force data",none
af04f58,,,,,,,,6/30/11,cal09,cal08,,,,,0.064,24,11,950,1940,760,190,100,Ambystoma_tigrinum,"EXCLUDE; light not visible, so can't sync with force data",none
af04f59,,,,,,,,6/30/11,cal09,cal08,,,,,0.064,24,11,950,1940,760,190,100,Ambystoma_tigrinum,"EXCLUDE; light not visible, so can't sync with force data",none
af04f60,,,,,,,,6/30/11,cal09,cal08,,,,,0.064,24,11,950,1940,760,190,100,Ambystoma_tigrinum,"EXCLUDE; light not visible, so can't sync with force data",none
af04f61,1,51,37,133,701,542,Pelvic,7/7/11,cal10,cal09,,,,,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,overlap with forelimb at beginning; kind of slows down towards end of stance,none
af04f62,17,49,42,96,571,451,Both,7/7/11,cal10,cal09,19,28,,,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,may have to throw out Pec file 'cause it falls on it a little,pel
af04f63,27,70,61,135,631,522,Pectoral,7/7/11,cal10,cal09,,,,,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,,pec
af04f64,19,59,,,551,473,Pectoral,7/7/11,cal10,cal09,,,,,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,,pec
af04f65,25,76,62,142,501,447,Pectoral,7/7/11,cal10,cal09,,,,,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,,none
af04f66,32,102,83,186,651,605,Pectoral,7/7/11,cal10,cal09,,,,,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,,none
af04f67,23,80,65,150,476,401,Pectoral,7/7/11,cal10,cal09,67,78,,,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,HL: turns and a little diagonal,none
af04f68,19,59,50,103,406,325,Pectoral,7/7/11,cal10,cal09,23,29,52,60,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,,none
af04f69,,,65,141,371,291,Pelvic,7/7/11,cal10,cal09,,,,,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,,pel
af04f70,16,62,51,111,451,385,Pectoral,7/7/11,cal10,cal09,24,31,45,59,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,HL: turns and a little diagonal,none
af04f71,22,63,57,113,381,303,Pectoral,7/7/11,cal10,cal09,26,38,60,68,0.062,24,11,948,1990,730,193,100,Ambystoma_tigrinum,EXCLUDE; didn't get light pulse on force trace (can't sync with force data),none
af04f72,24,56,53,93,331,259,Both,7/15/11,cal11,cal10,30,35,56,61,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,maybe turns a little on FL?,none
af04f73,42,110,91,193,411,332,Pelvic,7/15/11,cal11,cal10,,,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,might be isolated HL,none
af04f74,46,83,72,139,381,304,Both,7/15/11,cal11,cal10,41,54,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,,pel
af04f75,17,59,52,112,371,300,Pelvic,7/15/11,cal11,cal10,55,59,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,,none
af04f76,24,73,62,135,391,337,Pectoral,7/15/11,cal11,cal10,,,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,a little diagonal,pec
af04f77,71,169,141,249,461,400,Pectoral,7/15/11,cal11,cal10,,,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,,none
af04f78,30,69,60,113,301,239,Both,7/15/11,cal11,cal10,36,39,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,,none
af04f79,21,66,,,351,295,Pectoral,7/15/11,cal11,cal10,,,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,a little diagonal,pec
af04f80,74,185,152,316,571,491,Both,7/15/11,cal11,cal10,,,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,very slow,none
af04f81,35,84,73,150,351,290,Pectoral,7/15/11,cal11,cal10,39,48,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,,none
af04f82,16,71,,,346,273,Pectoral,7/15/11,cal11,cal10,23,27,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,a little diagonal,none
af04f83,29,80,68,136,351,283,Pectoral,7/15/11,cal11,cal10,,,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,,pec
af04f84,24,73,65,136,371,302,Pectoral,7/15/11,cal11,cal10,,,,,0.064,24,11,960,1930,710,190,100,Ambystoma_tigrinum,,none
af04f85,16,63,52,109,356,278,Pectoral,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,,pec
af04f86,,,70,163,401,323,Pelvic,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,isolated,pel
af04f87,,,85,183,411,337,Pelvic,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,isolated,pel
af04f88,24,62,55,114,356,287,Pectoral,7/20/11,cal12,cal11,52,65,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,,none
af04f89,12,56,47,99,351,295,Pectoral,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,a little diagonal,pec
af04f90,17,69,58,118,336,273,Pectoral,7/20/11,cal12,cal11,58,68,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,,none
af04f91,33,78,68,137,391,312,Pectoral,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,,none
af04f92,,,55,116,356,297,Pelvic,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,isolated,pel
af04f93,21,94,74,171,386,318,Pectoral,7/20/11,cal12,cal11,62,79,89,103,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,,none
af04f94,29,83,68,140,361,292,Pectoral,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,,none
af04f95,46,105,91,177,421,350,Both,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,FL close to edge,pel
af04f96,21,71,60,115,361,292,Pectoral,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,,pec
af04f97,37,87,76,148,416,351,Pectoral,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,,none
af04f98,18,76,,,371,303,Pectoral,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,isolated,pec
af04f99,18,65,56,118,371,300,Both,7/20/11,cal12,cal11,,,,,0.064,24,11,970,1950,730,190,100,Ambystoma_tigrinum,,pel
af05f26,26,79,67,132,241,161,Pectoral,6/22/11,cal05,cal05,77,86,,,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,drags body a little,none
af05f27,37,89,74,161,231,179,Pectoral,6/22/11,cal05,cal05,44,48,81,90,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,,none
af05f28,39,95,78,161,241,184,Pectoral,6/22/11,cal05,cal05,41,47,92,,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,drags body a little,none
af05f29,23,111,,,331,261,Pectoral,6/22/11,cal05,cal05,,,,,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,,pec
af05f30,30,97,84,173,266,195,Pectoral,6/22/11,cal05,cal05,43,61,96,110,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,drags body a little,none
af05f31,42,112,95,190,281,202,Both,6/22/11,cal05,cal05,58,64,81,93,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,,none
af05f32,48,136,119,196,331,281,Both,6/22/11,cal05,cal05,,,,,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,,pel
af05f33,49,121,103,205,331,252,Both,6/22/11,cal05,cal05,68,77,112,126,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,drags body a little bit,none
af05f34,26,93,,,281,228,Pectoral,6/22/11,cal05,cal05,64,75,90,101,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,,none
af05f35,29,80,67,145,281,226,Pectoral,6/22/11,cal05,cal05,56,65,80,113,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,,none
af05f36,14,46,40,78,191,139,Pectoral,6/22/11,cal05,cal05,16,28,43,56,0.067,24,11,970,1905,780,180,100,Ambystoma_tigrinum,taps body down,none
af05f37,11,55,48,92,201,134,Pectoral,6/23/11,cal06,cal06,29,34,52,63,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,none
af05f38,,,57,125,241,180,Pelvic,6/23/11,cal06,cal06,28,39,66,77,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,none
af05f39,44,94,85,147,251,190,Pelvic,6/23/11,cal07,cal06,58,68,82,95,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,none
af05f40,31,74,66,120,211,144,Both,6/23/11,cal07,cal06,31,35,59,66,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,pel
af05f41,20,62,57,106,201,150,Pelvic,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,none
af05f42,17,65,54,110,201,151,Pelvic,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,none
af05f43,28,101,82,181,281,230,Pelvic,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,none
af05f44,18,70,,,281,240,Pectoral,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,pec
af05f45,26,91,77,152,251,188,Pectoral,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,set forefoot down and then stepped again,none
af05f46,22,58,53,106,191,131,Both,6/23/11,cal07,cal06,51,61,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,pel
af05f47,16,113,94,207,331,239,Pectoral,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,drags body a little,none
af05f48,14,91,81,164,281,220,Pectoral,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,none
af05f49,14,93,77,169,231,187,Both,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,none
af05f50,21,66,58,126,181,135,Both,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,none
af05f51,16,57,51,101,171,117,Both,6/23/11,cal07,cal06,,,,,0.068,24,11,950,1950,740,180,100,Ambystoma_tigrinum,,pel
af05f52,11,47,42,80,151,80,Pectoral,6/24/11,cal08,cal07,38,51,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,taps body down,none
af05f53,20,66,56,105,181,133,Pectoral,6/24/11,cal08,cal07,55,66,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,none
af05f54,9,52,44,97,171,118,Both,6/24/11,cal08,cal07,40,57,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,a little diagonal,none
af05f55,28,64,58,110,191,133,Both,6/24/11,cal08,cal07,,,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,both
af05f56,103,139,133,185,266,208,Pectoral,6/24/11,cal08,cal07,,,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,,none
af05f57,,,91,194,281,229,Pelvic,6/24/11,cal08,cal07,,,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,,none
af05f58,17,56,49,93,201,149,Pelvic,6/24/11,cal08,cal07,,,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,pel
af05f59,9,63,53,112,231,187,Pectoral,6/24/11,cal08,cal07,,,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,,pec
af05f60,,,76,133,241,186,Pelvic,6/24/11,cal08,cal07,,,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,,pel
af05f61,17,121,,,331,278,Pectoral,6/24/11,cal08,cal07,,,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,dragging body; slows down a bit after some steps but feet were not on plate,pec
af05f62,15,59,51,113,191,139,Pectoral,6/24/11,cal08,cal07,,,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,pec
af05f63,12,71,61,123,206,154,Pectoral,6/24/11,cal08,cal07,,,,,0.072,24,11,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,none
