File name,Appendage,Video OK?,Force OK?,Status,Use,Notes
af01f52,Pelvic,Yes,Yes,KEEP,Yes,Hz primarily (+); force trace looks messy; body bumps
af01f53,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at the start of overlap with pelvic appendage
af01f53,Pelvic,Yes,Yes,KEEP,Yes,ML and Hz traces a little wavy
af01f54,Pectoral,Yes,No,EXCLUDE,No,peak net GRF during body bump; diagonal
af01f55,Pelvic,Yes,No,EXCLUDE,No,peak net GRF at 100% stance
af01f56,Pectoral,Yes,No,EXCLUDE,No,peak net GRF during body bump; pretty slow
af01f56,Pelvic,Yes,Yes,KEEP,Yes,Hz all + and ML goes from medial to lateral
af01f57,Pectoral,Yes,Yes,KEEP,No,ML and Hz traces a little wavy; movements a little jerky
af01f58,Pectoral,No,No,EXCLUDE,No,peak net GRF during body bump; pauses; really slow
af01f58,Pelvic,Yes,Yes,KEEP,Yes,ML and Hz traces a little wavy; Hz primarily (+); movements a little jerky
af01f59,Pectoral,Yes,Yes,KEEP,No,ML goes a little lateral
af01f60,Pectoral,Yes,Yes,TBD,No,"Hz primarily (-), and ML primarily lateral"
af01f60,Pelvic,No,No,EXCLUDE,No,peak net GRF occurs at end of overlap with pectoral appendage; slows down
af01f61,Pectoral,Yes,Yes,KEEP,No,drags body a bit; ML primarily lateral
af01f62,Pectoral,Yes,Yes,KEEP,No,drags body a bit; ML and Hz traces a little wavy; slow
af04f26,Pectoral,No,No,EXCLUDE,No,peak net GRF during body bump; sig body bump at beginning
af04f27,Pelvic,Yes,No,EXCLUDE,No,peak net GRF at 100% stance; falls onto plate
af04f28,,No,No,EXCLUDE,No,no text file saved
af04f29,Pectoral,No,No,EXCLUDE,No,peak net GRF during body bump; falls onto plate
af04f29,Pelvic,No,No,EXCLUDE,No,peak net GRF immediately after body bump; falls onto plate
af04f30,Pectoral,No,No,EXCLUDE,No,"noticeable body bumps on force trace but peak net GRF not affected; keep?; body bump not major in video, but does fall onto arm a bit"
af04f31,Pelvic,Yes,No,EXCLUDE,No,diagonal; force magnitudes low; weird upwards spike on net GRF; ML goes lateral; Hz convex (+)
af04f32,Pectoral,No,No,EXCLUDE,No,high steps and slams onto plate; peak net GRF occurs at start of overlap w/ pelvic
af04f32,Pelvic,No,No,EXCLUDE,No,slams onto plate
af04f33,Pectoral,No,No,EXCLUDE,No,peak net GRF during body bump; falls onto plate
af04f33,Pelvic,No,No,EXCLUDE,No,peak net GRF during body bump; falls onto plate
af04f34,Pelvic,Yes,Yes,KEEP,Yes,"Hz all pos; seems to slow down a bit, but doesn't completely stop"
af04f35,Pectoral,No,No,EXCLUDE,No,noticeable body bumps; falls onto plate
af04f36,Pectoral,No,No,EXCLUDE,No,peak net GRF during body bump; falls onto plate
af04f37,Pectoral,No,No,EXCLUDE,No,high steps and peak net GRF during body bump; falls onto plate
af04f37,Pelvic,Yes,Yes,KEEP,Yes,"Hz all pos; kinda slows down a little, but not dramatic"
af04f38,Pectoral,Yes,No,EXCLUDE,No,"peak net GRF at start of overlap and during body bump, but can see where real peak net GRF could be"
af04f38,Pelvic,Yes,No,TBD,No,noticeable body bumps but peak net GRF not affected; video ok; keep?
af04f39,Pectoral,No,Yes,TBD,No,noticeable body bump; Hz primarily (-); slows down; arms stretched out quite a bit
af04f40,Pectoral,Yes,No,EXCLUDE,No,diagonal; noticeable body bumps and peak net GRF at start of overlap; video ok
af04f40,Pelvic,Yes,Yes,TBD,No,diagonal; noticeable body bumps but peak net GRF not affected; video ok
af04f41,Pectoral,Yes,Yes,KEEP,No,body bump only noticeable after overlap; Hz primarily (-)
af04f42,Pectoral,No,Yes,EXCLUDE,No,noticeable body bumps but peak net GRF not affected; falls on forelimb; high steps towards the end
af04f42,Pelvic,Yes,Yes,TBD,No,diagonal; falls onto plate; Hz convex (+)
af04f43,Pectoral,No,Yes,EXCLUDE,No,high steps onto plate but doesn't fall onto plate; peak net GRF early in stance; otherwise looks ok
af04f44,Pectoral,No,Yes,EXCLUDE,No,high steps and swings down onto arm; Hz neg then pos
af04f44,Pelvic,No,No,EXCLUDE,No,noticeable body bumps; peak net GRF at end of overlap w/ pelvic; falls on plate
af04f45,Pectoral,No,Yes,EXCLUDE,No,noticeable body bumps but peak net GRF not affected; swings onto arm a little; Hz neg then pos
af04f46,Pectoral,Yes,Yes,KEEP,No,high peak towards beginning but doesn't touch plate; peak net GRF early in stance; video looks ok; Hz neg then pos; noticeable spikes in force trace
af04f46,Pelvic,No,Yes,EXCLUDE,No,peak net GRF during body bump; falls onto plate
af04f47,Pectoral,Yes,Yes,KEEP,Yes,Hz neg then pos
af04f48,Pectoral,No,No,EXCLUDE,No,peak net GRF at end of overlap w/ pelvic; falls onto plate
af04f49,Pectoral,Yes,Yes,KEEP,No,Hz neg then pos; swings down onto oustretched arm a little
af04f50,Pectoral,Yes,Yes,KEEP,No,noticeable body bumps but force trace and peak net GRF not affected; falls onto outstreched arm a little; Hz neg then pos
af04f51,Pelvic,Yes,Yes,KEEP,No,noticeable body bumps but peak net GRF not affected; video ok; Hz convex (+)
af04f52,Pectoral,Yes,Yes,KEEP,No,high steps a little; Hz neg then pos; force traces messy
af04f53,Pectoral,No,No,EXCLUDE,No,"peak net GRF at start of overlap w/ pelvic; falls onto plate; can kind of see where real peak net GRF should be, though"
af04f54,Pectoral,Yes,Yes,KEEP,No,Hz all neg; slows down at end
af04f55,Pectoral,No,No,TBD,No,noticeable body bumps on force trace; falls on plate a little
af04f56,,No,No,EXCLUDE,No,video and force not synced 
af04f57,,No,No,EXCLUDE,No,video and force not synced 
af04f58,,No,No,EXCLUDE,No,video and force not synced 
af04f59,,No,No,EXCLUDE,No,video and force not synced 
af04f60,,No,No,EXCLUDE,No,video and force not synced 
af04f61,Pelvic,No,No,EXCLUDE,No,peak net GRF at 100% stance; slow and then slows down on plate
af04f62,Pectoral,No,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic; noticeable body bumps; falls on arm a bit
af04f62,Pelvic,Yes,Yes,KEEP,Yes,"slows a little, but not dramatic"
af04f63,Pectoral,Yes,Yes,KEEP,Yes,Hz primarily neg
af04f64,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz all neg
af04f65,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap
af04f66,Pectoral,Yes,Yes,KEEP,No,Hz primarily neg; slow
af04f67,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
af04f68,Pectoral,Yes,No,EXCLUDE,No,peak net GRf at start of overlap w/ pelvic
af04f69,Pelvic,Yes,Yes,KEEP,Yes,isolated; Hz convex (+); slow and maybe slow down a bit
af04f70,Pectoral,Yes,No,TBD,No,noticeable body bumps but peak net GRF not affected; falls on arms a little bit
af04f71,,,,EXCLUDE,No,not synced
af04f72,Pectoral,No,No,EXCLUDE,No,significant body bumps; Hz neg then pos; falls on arm a bit
af04f72,Pelvic,No,Yes,TBD,No,significant body bumps; Hz convex (+); pauses a tiny bit
af04f73,Pelvic,No,Yes,EXCLUDE,No,"seems to slow down during stance, tho; turns a little"
af04f74,Pectoral,No,No,EXCLUDE,No,peak net GRF at the start of overlap with pelvic appendage; falls a little
af04f74,Pelvic,Yes,Yes,KEEP,Yes,Hz convex (+)
af04f75,Pelvic,Yes,No,EXCLUDE,No,"peak net GRF at 100% stance; also weird force trace; video looks ok, tho"
af04f76,Pectoral,Yes,Yes,KEEP,Yes,Hz neg then pos
af04f77,Pectoral,No,No,EXCLUDE,No,peak net GRF at the start of overlap with pelvic appendage; pauses a bit
af04f78,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at the start of overlap with pelvic appendage
af04f78,Pelvic,Yes,Yes,TBD,No,peak net GRF immediately after end of overlap with pectoral appendage
af04f79,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz primarily neg; very slow
af04f80,Pectoral,Yes,Yes,KEEP,No,Hz primarily neg; very slow
af04f80,Pelvic,Yes,Yes,TBD,No,ML and Hz a little wavy; Hz primarily pos; very slow
af04f81,Pectoral,Yes,No,EXCLUDE,No,significant body bumps; peak net GRF at start of overlap w/ pelvic
af04f82,Pectoral,No,No,EXCLUDE,No,falls on arm; Hz neg then pos
af04f83,Pectoral,Yes,Yes,KEEP,Yes,Hz positive then neg
af04f84,Pectoral,Yes,Yes,KEEP,No,ML and Hz a little wavy; Hz primarily neg
af04f85,Pectoral,Yes,Yes,KEEP,Yes,
af04f86,Pelvic,No,Yes,TBD,Yes,isolated; Hz convex (+); slows down
af04f87,Pelvic,Yes,Yes,KEEP,Yes,isolated; Hz convex (+); really slow
af04f88,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
af04f89,Pectoral,Yes,Yes,KEEP,Yes,Hz neg then pos
af04f90,Pectoral,Yes,Yes,KEEP,No,Hz all neg
af04f91,Pectoral,Yes,Yes,KEEP,No,Hz neg then pos
af04f92,Pelvic,Yes,Yes,KEEP,Yes,isolated; Hz convex (+); ML gets a  little lateral
af04f93,Pectoral,Yes,No,TBD,No,peak net GRF occurs very close to body bump; traces kind of wavy; slows a bit
af04f94,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
af04f95,Pectoral,Yes,Yes,KEEP,No,Hz neg then pos
af04f95,Pelvic,Yes,Yes,KEEP,Yes,Hz convex (+); slow
af04f96,Pectoral,Yes,Yes,KEEP,Yes,Hz neg then pos
af04f97,Pectoral,Yes,Yes,KEEP,No,Hz neg then pos
af04f98,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz kind of wavy
af04f99,Pectoral,Yes,Yes,KEEP,No,Hz neg then pos
af04f99,Pelvic,Yes,Yes,KEEP,Yes,Hz convex (+); slows a bit at the end
af05f26,Pectoral,Yes,Yes,KEEP,No,Hz primarily positive
af05f27,Pectoral,Yes,No,TBD,No,noticeable body bumps but peak net GRF not affected; video ok
af05f28,Pectoral,No,No,TBD,No,noticeable body bumps but peak net GRF not affected; slows down a little; Hz neg then pos
af05f29,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz primarily neg
af05f30,Pectoral,No,No,EXCLUDE,No,drags body a lot and pauses; force trace messy; exclude?
af05f31,Pectoral,No,No,EXCLUDE,No,drags body a lot; force trace messy; movement really jerky; exclude?
af05f31,Pelvic,Yes,Yes,TBD,No,Hz primarily pos; seems to slow down a bit
af05f32,Pectoral,No,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic; movements kind of jerky
af05f32,Pelvic,Yes,Yes,KEEP,Yes,Hz primarily pos
af05f33,Pectoral,Yes,No,EXCLUDE,No,"peak net GRF during body bump; can kind of see where real peak net GRF should be, though"
af05f33,Pelvic,No,No,TBD,No,noticeable body bumps; slows and turns a little
af05f34,Pectoral,No,No,EXCLUDE,No,peak net GRF during body bump; slows down a bit
af05f35,Pectoral,Yes,No,EXCLUDE,No,peak net GRF during body bump; video looks ok tho
af05f36,Pectoral,Yes,Yes,KEEP,No,noticeable body bumps but peak net GRF not affected; falls a little; Hz primarily pos
af05f37,Pectoral,Yes,Yes,KEEP,No,"body bumps, but not too noticeable"
af05f38,Pelvic,No,No,TBD,No,noticeable body bumps; slows down quite a bit
af05f39,Pelvic,Yes,No,EXCLUDE,No,peak net GRF at 100% stance; slows down a little; exclude?
af05f40,Pectoral,Yes,Yes,KEEP,No,
af05f40,Pelvic,Yes,Yes,KEEP,Yes,ML goes a little lateral; Hz primarily pos
af05f41,Pelvic,Yes,Yes,KEEP,No,Hz convex (+); ML goes a little lateral; net GRF has weird upturn
af05f42,Pelvic,Yes,Yes,KEEP,No,ML all lateral; Hz convex (+); net GRF as weird upturn at end
af05f43,Pelvic,No,Yes,TBD,No,"Hz convex (+); very slow, and kind of slows down"
af05f44,Pectoral,Yes,Yes,KEEP,Yes,isolated; ML and Hz a little wavy
af05f45,Pectoral,Yes,Yes,KEEP,No,ML and Hz a little wavy; goes a little lateral
af05f46,Pectoral,Yes,Yes,KEEP,No,Hz primarily pos
af05f46,Pelvic,Yes,Yes,KEEP,Yes,"Hz convex (+); slows down a tiny bit, but not significant"
af05f47,Pectoral,No,Yes,TBD,No,"ML and Hz pretty wavy; Hz  neg then pos; very slow, and slows a little"
af05f48,Pectoral,Yes,Yes,KEEP,No,Hz neg then pos
af05f49,Pectoral,Yes,Yes,TBD,No,ML and Hz a little wavy; Hz primarily pos
af05f49,Pelvic,No,No,EXCLUDE,No,peak net GRF at end of overlap with pectoral appendage; slow and slows down a bit
af05f50,Pectoral,Yes,Yes,KEEP,No,Hz a little wavy
af05f50,Pelvic,Yes,Yes,KEEP,No,Hz convex (+); slows a little towards end
af05f51,Pectoral,Yes,Yes,KEEP,No,Hz a little wavy
af05f51,Pelvic,Yes,Yes,KEEP,Yes,ML and Hz a little way; Hz convex (+)
af05f52,Pectoral,No,No,TBD,No,peak net GRF at beginning of body bump; falls towards end of stance; exclude?
af05f53,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap and during body bump; video is ok
af05f54,Pectoral,Yes,Yes,TBD,No,Hz neg then pos; diagonal
af05f54,Pelvic,Yes,No,EXCLUDE,No,peak net GRF during body bump; video looks ok; diagonal; slows a tiny bit at end
af05f55,Pectoral,Yes,Yes,KEEP,Yes,Hz primarily pos
af05f55,Pelvic,Yes,Yes,KEEP,Yes,Hz primarily pos
af05f56,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at 0% stance; weird force trace with peak net GRF towards beginning
af05f57,Pelvic,No,Yes,TBD,No,isolated; force traces pretty wavy; slows down quite a bit; net GRF has weird upturn at end
af05f58,Pelvic,Yes,Yes,KEEP,Yes,Hz convex (+)
af05f59,Pectoral,Yes,Yes,KEEP,Yes,Hz neg then pos; a little diagonal
af05f60,Pelvic,Yes,Yes,KEEP,Yes,isolated; Hz convex (+)
af05f61,Pectoral,Yes,Yes,KEEP,Yes,isolated; force traces kind of wavy; Hz primarily pos; very slow
af05f62,Pectoral,Yes,Yes,KEEP,Yes,
af05f63,Pectoral,Yes,Yes,KEEP,No,Hz neg then pos; ML a little wavy; falls onto arm a little bit
af05f64,Pectoral,Yes,Yes,KEEP,Yes,ML and Hz a little wavy
af05f64,Pelvic,Yes,No,EXCLUDE,No,peak net GRF at end of overlap with pectoral appendage
af05f65,Pectoral,Yes,Yes,KEEP,Yes,isolated; ML and Hz a little wavy
af05f66,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap with pelvic appendage
af05f66,Pelvic,Yes,No,EXCLUDE,No,peak net GRF at end of overlap with pectoral appendage
af05f67,Pectoral,Yes,Yes,KEEP,Yes,ML and Hz a little wavy
af05f68,Pelvic,Yes,Yes,KEEP,No,Hz convex (+); ML goes a little lateral; slows a tiny bit towards the end; net GRF as weird upturn at end
af05f69,Pectoral,No,No,EXCLUDE,No,peak net GRF occurs during body bump; does weird finger curl before stance; slows
af05f69,Pelvic,No,Yes,KEEP,Yes,Hz primarily pos; pauses a bit
af05f70,Pectoral,Yes,Yes,KEEP,No,ML and Hz a little wavy; pauses a little before FL stance
af05f71,Pectoral,Yes,Yes,KEEP,Yes,ML and Hz a little wavy
af05f71,Pelvic,Yes,Yes,KEEP,Yes,Hz primarily pos
af05f72,Pelvic,No,Yes,KEEP,Yes,isolated; ML and Hz a little wavy; Hz convex (+); movements a bit jerky
af05f73,Pectoral,Yes,Yes,KEEP,No,ML and Hz a little wavy; Hz primarily pos; ML goes a little lateral
af05f74,Pectoral,Yes,Yes,KEEP,No,Hz primarily pos; slow
pb01f01,Pectoral,Yes,No,EXCLUDE,No,peak net GRF towards 100% stance
pb01f02,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz convex (+)
pb01f03,,No,No,EXCLUDE,No,fish jumped (nonnormal behavior)
pb01f04,Pectoral,No,No,EXCLUDE,No,peak net GRF towards 100% stance; pauses on plate
pb01f05,Pectoral,Yes,No,EXCLUDE,No,peak net at end of overlap with pelvic appendage
pb01f06,Pectoral,Yes,No,EXCLUDE,No,peak net GRF towards 100% stance
pb01f07,Pectoral,Yes,Yes,KEEP,Yes,Hz a little wavy; ML almost flatlines
pb01f08,Pectoral,Yes,Yes,KEEP,No,Hz all pos; ML a little lateral; peak net GRF really early in stance
pb01f09,Pectoral,No,No,EXCLUDE,No,nonnormal behavior; weird net GRF trace
pb01f10,,No,No,EXCLUDE,No,video and force not synced 
pb01f11,,No,No,EXCLUDE,No,video and force not synced 
pb01f12,,No,No,EXCLUDE,No,video and force not synced 
pb01f13,,No,No,EXCLUDE,No,video and force not synced 
pb01f14,,No,No,EXCLUDE,No,video and force not synced 
pb01f15,,No,No,EXCLUDE,No,video and force not synced 
pb01f16,,No,No,EXCLUDE,No,video and force not synced 
pb01f17,Pectoral,Yes,Yes,KEEP,No,Hz all pos
pb01f18,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
pb01f19,Pectoral,Yes,Yes,KEEP,No,Hz all pos
pb01f20,Pectoral,No,No,EXCLUDE,No,videos corrupted
pb01f21,Pectoral,No,No,EXCLUDE,No,videos corrupted
pb01f22,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
pb01f23,Pectoral,Yes,Yes,KEEP,Yes,ML and Hz a little wavy; Hz all pos
pb01f24,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at 100% stance;  video looks ok but force trace is really weird
pb01f25,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at 100% stance;  video looks ok but force trace is really weird
pb01f26,Pectoral,Yes,No,EXCLUDE,No,"peak net GRF immediately after overlap with sucker, tho (early in stance); really low magnitude (0.2 BW)"
pb01f27,Pectoral,Yes,Yes,KEEP,Yes,Hz convex (+)
pb01f28,Pectoral,Yes,Yes,KEEP,Yes,Hz all pos
pb01f29,Pectoral,Yes,No,TBD,No,"peak net GRF doesn't seem odd, but sucker hits plate twice"
pb01f30,Pectoral,Yes,No,TBD,No,"peak net GRF doesn't seem odd, but sucker hits plate twice"
pb01f31,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at 100% stance; slow
pb01f32,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz convex (+)
pb01f33,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz convex (+)
pb01f34,Pectoral,Yes,Yes,KEEP,No,Hz convex (+)
pb01f35,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz convex (+)
pb01f36,Pectoral,Yes,Yes,KEEP,No,Hz convex (+); pauses before this appendage cycle
pb01f37,Pectoral,Yes,Yes,KEEP,Yes,Hz convex (+); isolated
pb01f38,Pectoral,Yes,Yes,KEEP,No,Hz all pos; peak net GRF really early in stance
pb01f39,Pectoral,Yes,No,TBD,No,force traces look a little weird; sucker hits plate twice
pb01f40,Pectoral,Yes,Yes,KEEP,Yes,"Kind of slow, but otherwise ok"
pb01f41,Pectoral,Yes,Yes,TBD,No,Horizontal force trace looks messy; sucker hits place twice
pb01f42,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at about 100% stance; huge/weird spike there
pb01f43,Pectoral,Yes,Yes,TBD,No,ML goes a little lateral; ML trace looks weird
pb01f44,Pectoral,No,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
pb01f45,Pectoral,No,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
af06f01,Pectoral,No,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic; falls on plate 
af06f01,Pelvic,Yes,No,EXCLUDE,No,peak net GRF immediately after end of overlap with pectoral appendage
af06f02,Pectoral,No,No,EXCLUDE,No,"peak net GRF occurs during body bump, but otherwise seems ok; falls on pate"
af06f02,Pelvic,Yes,No,EXCLUDE,No,peak net GRF at end of overlap w/ pectoral appendage
af06f03,Pectoral,Yes,No,TBD,No,"peak net GRF occurs during body bump, but otherwise seems ok"
af06f04,Pectoral,Yes,Yes,TBD,No,Prefer not to use 'cause video zoomed out; Hz primarily pos
af06f05,Pectoral,Yes,Yes,TBD,No,Prefer not to use 'cause video zoomed out; force trace pretty good; isolated; slow
af06f06,Pectoral,Yes,Yes,TBD,No,"peak net GRF occurs during body bump, but not noticeable bump"
af06f07,Pectoral,Yes,Yes,TBD,No,"peak net GRF occurs during body bump, but not noticeable bump"
af06f07,Pelvic,Yes,No,EXCLUDE,No,peak net GRF occurs at end of overlap with pectoral appendage
af06f08,Pectoral,Yes,Yes,KEEP,Yes,isolated
af06f09,Pectoral,Yes,Yes,KEEP,Yes,
af06f10,Pectoral,Yes,Yes,KEEP,No,ML and Hz a little wavy; Hz primarily pos; ML goes a little lateral
af06f11,Pectoral,Yes,Yes,KEEP,No,
af06f12,Pectoral,Yes,Yes,KEEP,Yes,Hz primarily pos; isolated
af06f13,Pectoral,Yes,Yes,KEEP,No,diagonal
af06f14,Pectoral,Yes,No,EXCLUDE,No,peak net GRF occurs at start of overlap w/ pelvic
af06f15,Pelvic,Yes,Yes,KEEP,Yes,ML a little wavy; Hz convex (+); isolated
af06f16,Pectoral,Yes,Yes,KEEP,No,ML and Hz a little wavy; toe curls
af06f17,Pectoral,Yes,Yes,KEEP,No,Hz primarily pos
af06f17,Pelvic,Yes,No,EXCLUDE,No,peak net GRF at end of overlap w/ pectoral appendage
af06f18,,No,No,EXCLUDE,No,no lateral view video
af06f19,Pectoral,Yes,Yes,KEEP,Yes,Hz a little wavy; slow; isolated
af06f20,Pectoral,Yes,Yes,KEEP,No,"body bumps, but not noticeable at all"
af06f21,Pectoral,Yes,Yes,KEEP,Yes,body bump?
af06f22,Pectoral,Yes,Yes,TBD,No,"peak net GRF occurs during body bump, but not noticeable bump"
af06f23,Pectoral,Yes,Yes,TBD,No,peak net GRF occurs earlier in stance; Hz neg then pos
af06f24,Pectoral,Yes,Yes,TBD,No,"peak net GRF occurs during body bump, but not noticeable bump"
af06f25,Pectoral,Yes,No,TBD,No,peak net GRF occurs during body bump that's noticeable in the Hz; body bump doesn't look bad on video
af06f26,Pectoral,Yes,Yes,KEEP,No,force trace not that great
af06f27,Pectoral,Yes,Yes,KEEP,No,Hz primarily neg
af06f28,Pectoral,Yes,Yes,KEEP,Yes,Hz a little wavy
af06f29,Pelvic,No,Yes,TBD,No,Hz convex (+); slows down towards end
af06f30,Pectoral,Yes,Yes,KEEP,Yes,
af06f31,Pectoral,Yes,Yes,KEEP,No,diagonal
af06f32,Pectoral,Yes,Yes,KEEP,No,
af06f33,Pectoral,Yes,Yes,KEEP,Yes,
af06f34,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz neg then pos
af06f35,Pelvic,Yes,No,EXCLUDE,No,peak net GRF occurs at end of overlap with pectoral appendage
af06f36,Pectoral,Yes,Yes,KEEP,No,
af06f36,Pelvic,Yes,No,EXCLUDE,No,peak net GRF occurs at end of overlap with pectoral appendage
af06f37,Pelvic,Yes,No,EXCLUDE,No,peak net GRF occurs at end of overlap with pectoral appendage
af06f38,Pectoral,Yes,Yes,KEEP,No,net GRF has a little bit of a weird curve
af06f39,Pectoral,Yes,Yes,TBD,No,"peak net GRF occurs during body bump, but not noticeable bump"
af06f40,Pectoral,Yes,Yes,KEEP,Yes,Force trace looks pretty good
af06f41,Pelvic,Yes,Yes,KEEP,Yes,Hz convex (+); isolated
af07f02,Pectoral,Yes,Yes,TBD,No,ML goes a little lateral; Hz pos then neg
af07f02,Pelvic,Yes,Yes,KEEP,Yes,Hz convex (+); ML goes a little lateral
af07f03,Pelvic,Yes,Yes,TBD,No,Hz convex (+); ML primarily lateral
af07f04,Pectoral,Yes,Yes,KEEP,No,Hz primarily pos; slow
af07f05,Pectoral,No,No,EXCLUDE,No,peak net GRF at beginning of overlap w/ pelvic; slow and jerky movements
